Reference,Qty,Description,Part Number,Manufacturer,Digikey
U1,1,IC CPLD 72MC 10NS 64VQFP,XC9572XL-10VQG64C,Xilinx Inc.,122-1388-ND
U2,1,16MBIT PARALLEL FLASH MEMORY 48TSOP,AM29LV160MT-100EI (legacy) or S29AL016J70TFI010,Cypress Semiconductor Corp,1274-1013-ND
LED1,1,LED RGB CLEAR 4SMD. COMMON ANODE,19-237/R6GHBHC-A07/2T,Everlight Electronics Co Ltd,1080-1590-1-ND
J1,1,JST SM CONN HEADER SMD R/A 10POS 1MM,SM10B-SRSS-TB,JST Sales America Inc.,455-1810-1-ND
"C1,C2",2,CAP CER 0.1UF 50V 0603,CL10B104KB8NNNC,Capacitor Generic,1276-1000-1-ND
C4,1,CAP CER 10UF 6.3V 0603,JMK107ABJ106MA-T,Capacitor Generic,587-5869-1-ND
"R1,R2,R3",3,RES 68 OHM 5% 1/8W 0603,RK73B1JTTD680J,Resistor Generic,2019-RK73B1JTTD680JCT-ND
R5,1,RES 1K OHM 5% 1/10W 0603,RMCF0603JJ1K00,Resistor Generic,RMCF0603JJ1K00CT-ND
"Q1,Q2,Q3,Q4",4,MOSFET N-CH 20V 4.1A SOT-23,IRLML6246TRPBF,Infineon Technologies,IRLML6246TRPBFCT-ND
LPC,1,PPTC072LFBN-RC,PPTC072LFBN-RC,Sullins Connector Solutions,S7075-ND
